City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Kupang,ID,-10.1667,123.5833,73.62,73,5,11.63,
92,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,75,23.02,
93,Soteapan,MX,18.2333,-94.8667,78.64,78,99,4.68,
94,Pangkalanbuun,ID,-2.6833,111.6167,74.75,93,93,2.77,
95,Wanning,CN,18.8003,110.3967,81.43,90,96,6.46,
96,Medina,SA,24.4686,39.6142,108.03,8,0,12.66,
97,Snezhnogorsk,RU,69.1933,33.2531,65.98,92,100,13.69,
98,Esperance,AU,-33.8667,121.9,60.19,86,71,15.32,
99,Ipixuna,BR,-1.7625,-48.8043,84.9,68,76,4.99,
100,Lata,PT,40.1629,-8.3327,93.49,39,67,9.6,
101,Dicabisagan,PH,17.0818,122.4157,80.74,87,67,6.31,
102,Nome,US,64.5011,-165.4064,46.47,100,100,0.0,
103,Lithakia,GR,37.7167,20.8333,92.48,31,0,11.5,
104,Buraydah,SA,26.326,43.975,108.05,10,71,10.13,
105,Leningradskiy,RU,69.3833,178.4167,33.69,83,100,10.27,
106,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,89,8.99,
107,Bayevo,RU,53.2833,80.7667,61.29,49,100,9.06,
108,Tucumcari,US,35.1717,-103.725,86.94,39,0,8.05,
109,Saint George,US,37.1041,-113.5841,94.62,28,0,4.61,
110,Xuddur,SO,4.1213,43.8894,80.01,58,93,18.52,
111,Chara,RU,56.9064,118.2631,64.78,84,100,2.39,
112,Pitimbu,BR,-7.4706,-34.8086,84.79,68,14,16.35,
113,Sioux Lookout,CA,50.1001,-91.917,69.87,68,40,5.75,
114,Kathmandu,NP,27.7167,85.3167,73.62,94,75,2.3,
115,Lunavada,IN,23.1333,73.6167,81.88,84,92,9.33,
116,Lavrentiya,RU,65.5833,-171.0,48.34,70,100,4.99,
117,Bengkulu,ID,-3.8004,102.2655,76.91,93,99,5.39,
118,Shache,CN,38.4167,77.2406,80.71,27,100,6.67,
119,Portland,US,45.5234,-122.6762,66.06,73,20,6.91,
120,Butaritari,KI,3.0707,172.7902,81.36,81,69,17.4,
121,Niamey,NE,13.5137,2.1098,98.89,30,20,13.8,
122,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,
123,Ocos,GT,14.5094,-92.1933,80.38,79,100,8.14,
124,Kavieng,PG,-2.5744,150.7967,80.38,83,100,15.39,
125,Ixtapa,MX,20.7,-105.2,85.23,77,46,4.0,
126,Cidreira,BR,-30.1811,-50.2056,58.59,98,100,11.72,
127,Waingapu,ID,-9.6567,120.2641,72.73,84,2,7.94,
128,Paralimni,CY,35.0375,33.9833,97.29,92,0,8.99,
129,Backa Palanka,RS,45.2508,19.3919,89.94,19,69,6.15,
130,Cairns,AU,-16.9167,145.7667,53.55,89,70,9.22,
131,Iracoubo,GF,5.4802,-53.2011,85.01,70,37,8.75,
132,Senneterre,CA,48.3835,-77.2328,69.31,39,43,6.42,
133,Roma,US,43.2128,-75.4557,75.96,64,20,8.99,
134,Deputatskiy,RU,69.3,139.9,44.62,91,23,4.18,
135,Katherine,AU,-14.4667,132.2667,50.32,66,6,5.75,
136,Albany,US,42.6001,-73.9662,78.58,63,6,1.01,
137,Krasnoselkup,RU,65.7,82.4667,57.42,60,100,6.08,
138,Chichica,PA,8.4922,-82.1627,78.15,75,64,3.89,
139,Lisala,CD,2.15,21.5167,73.53,93,100,1.97,
140,Yeniseysk,RU,58.4497,92.1703,48.16,91,66,3.09,
141,College,US,64.8569,-147.8028,59.2,53,40,5.75,
142,Chaman,PK,30.9236,66.4512,90.68,14,1,6.46,
143,Xinxiang,CN,35.3089,113.8672,82.76,69,50,5.55,
144,Kaseda,JP,31.4167,130.3167,80.92,92,67,12.86,
145,Lubango,AO,-14.9172,13.4925,70.23,23,0,6.17,
146,Kloulklubed,PW,7.0419,134.2556,73.9,76,99,6.82,
147,Kodiak,US,57.79,-152.4072,54.91,88,100,3.44,
148,Tuatapere,NZ,-46.1333,167.6833,40.35,94,96,2.82,
149,Chokurdakh,RU,70.6333,147.9167,43.25,64,27,7.47,
150,Makhachkala,RU,42.9764,47.5024,91.38,50,56,11.68,
151,Salalah,OM,17.0151,54.0924,78.89,94,75,8.05,
152,Mar Del Plata,AR,-38.0023,-57.5575,52.95,88,100,17.0,
153,Kahului,US,20.8947,-156.47,77.85,79,0,14.97,
154,Sobolevo,RU,54.4299,31.8996,63.39,86,52,10.22,
155,Talnakh,RU,69.4865,88.3972,58.21,63,100,3.42,
156,Pevek,RU,69.7008,170.3133,33.71,85,7,13.29,
157,Upernavik,GL,72.7868,-56.1549,39.6,86,31,13.0,
158,Turbat,PK,26.0023,63.044,93.31,51,76,10.74,
159,Ternate,ID,0.8,127.4,80.56,77,99,1.99,
160,Yar-Sale,RU,66.8333,70.8333,56.88,63,100,11.1,
161,Avarua,CK,-21.2078,-159.775,73.45,68,100,6.91,
162,Juneau,US,58.3019,-134.4197,55.22,93,75,0.0,
163,Usevya,TZ,-7.1,31.2333,75.16,32,2,5.21,
164,Beringovskiy,RU,63.05,179.3167,46.81,98,100,6.29,
165,Tambopata,PE,-12.7333,-69.1833,75.09,83,75,2.3,
166,Saint-Denis,FR,48.9167,2.3333,91.94,33,0,13.8,
167,Nsanje,MW,-16.92,35.262,70.48,51,1,4.72,
168,Rundu,NA,-17.9333,19.7667,70.92,23,0,5.28,
169,Qaanaaq,GL,77.484,-69.3632,44.29,83,99,5.57,
170,Teya,RU,60.3778,92.6267,47.59,76,56,1.72,
171,Makamba,BI,-4.1348,29.804,67.37,51,54,0.43,
172,Meulaboh,ID,4.1363,96.1285,78.57,88,29,6.17,
173,Codrington,AU,-38.2667,141.9667,43.86,97,23,8.75,
174,Longyearbyen,SJ,78.2186,15.6401,53.44,76,0,1.14,
175,Mendi,PG,-6.1761,143.6513,55.87,100,99,1.19,
176,Richards Bay,ZA,-28.783,32.0377,68.05,62,0,10.85,
177,Chuy,UY,-33.6971,-53.4616,61.68,79,75,11.43,
178,Alta Floresta,BR,-9.8756,-56.0861,94.82,31,0,6.91,
179,Ajra,IN,16.1167,74.2,69.76,94,100,16.64,
180,Ron Phibun,TH,8.1791,99.8542,75.16,91,100,4.83,
181,Dikson,RU,73.5069,80.5464,42.28,75,9,12.39,
182,Bay Roberts,CA,47.5999,-53.2648,79.66,54,1,7.09,
183,Mbanza-Ngungu,CD,-5.25,14.8667,85.96,28,9,4.21,
184,Cristalina,BR,-16.7686,-47.6136,76.57,31,12,10.13,
185,Muskogee,US,35.5834,-95.3336,93.34,57,0,8.86,
186,Severo-Kurilsk,RU,50.6789,156.125,52.34,97,84,7.43,
187,Havelock,US,34.8791,-76.9013,87.78,82,100,8.01,
188,Padang,ID,-0.9492,100.3543,73.45,88,100,6.8,
189,Domoni,KM,-12.2569,44.5319,75.18,77,43,11.74,
190,Omboue,GA,-1.5746,9.2618,75.94,71,45,9.84,
191,Shenjiamen,CN,29.9576,122.298,77.65,93,99,11.05,
192,Sitka,US,57.0531,-135.33,55.29,82,75,3.44,
193,Angarsk,RU,52.5367,103.8864,57.92,94,98,4.74,
194,North Myrtle Beach,US,33.816,-78.68,90.1,74,0,8.05,
195,Bonavista,CA,48.6499,-53.1147,56.43,76,9,12.57,
196,Dudinka,RU,69.4058,86.1778,58.62,65,99,9.82,
197,Hami,CN,42.8,93.45,83.1,19,43,13.24,
198,Karratha,AU,-20.7377,116.8463,66.02,60,18,5.79,
199,Cap Malheureux,MU,-19.9842,57.6142,70.47,70,49,5.99,
200,Voghera,IT,44.9947,9.0086,95.76,24,32,9.35,
201,Frankfurt,DE,50.1167,8.6833,82.78,39,0,17.27,
202,Torbay,CA,47.6666,-52.7314,78.89,55,40,10.36,
203,Pyay,MM,18.8167,95.2167,77.74,92,77,7.9,
204,Provideniya,RU,64.3833,-173.3,51.58,61,100,6.13,
205,Bandiagara,ML,14.3501,-3.6104,94.93,31,82,10.0,
206,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,78,75,15.26,
207,Tiksi,RU,71.6872,128.8694,41.32,90,88,3.49,
208,Dali,CN,25.7,100.1833,66.92,83,10,3.56,
209,Sotnikovo,RU,51.8845,107.4791,59.09,94,40,4.47,
210,Massakory,TD,12.996,15.7293,91.11,37,100,3.4,
211,Arman,RU,59.7,150.1667,60.46,88,46,2.3,
212,Samarai,PG,-10.6167,150.6667,76.35,75,100,19.51,
213,Sur,OM,22.5667,59.5289,91.65,56,98,5.53,
214,Kruisfontein,ZA,-34.0033,24.7314,55.89,85,26,11.03,
215,Atar,MR,20.5169,-13.0499,107.74,17,20,9.69,
216,Kurtalan,TR,37.9272,41.7028,95.34,12,0,3.29,
217,Bathsheba,BB,13.2167,-59.5167,87.04,81,75,16.11,
218,Tessalit,ML,20.1986,1.0114,108.77,10,40,2.28,
219,Tres Picos,MX,15.8667,-93.5333,83.7,76,100,2.04,
220,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,77,85,10.49,
221,Karachi,PK,24.9056,67.0822,84.02,79,100,16.11,
222,Ilulissat,GL,69.2167,-51.1,50.02,57,20,6.91,
223,Bereda,ES,43.2686,-7.5406,91.42,33,100,8.19,
224,Sooke,CA,48.3746,-123.7276,64.31,74,33,5.86,
225,Ballina,AU,-28.8667,153.5667,53.02,81,80,14.18,
226,Gazanjyk,TM,39.2446,55.5154,96.06,12,0,11.1,
227,Olafsvik,IS,64.8945,-23.7142,50.81,73,24,3.11,
228,San Patricio,US,28.017,-97.5169,91.27,45,2,8.59,
229,Faanui,PF,-16.4833,-151.75,77.36,74,45,25.05,
230,Brae,GB,60.3964,-1.353,54.23,77,94,12.75,
231,Luderitz,NA,-26.6481,15.1594,66.34,48,0,16.24,
232,Colares,PT,38.7992,-9.4469,92.86,42,0,5.75,
233,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,9.22,
234,Hays,US,30.0502,-98.0336,93.09,51,0,4.0,
235,Cody,US,44.5263,-109.0565,76.62,53,0,10.36,
236,Do Gonbadan,IR,30.3586,50.7981,102.29,10,0,9.22,
237,Lumby,CA,50.2498,-118.969,70.05,51,30,6.91,
238,Coihaique,CL,-45.5752,-72.0662,32.61,74,75,4.61,
239,Central Point,US,42.376,-122.9164,72.43,64,0,1.99,
240,Grindavik,IS,63.8424,-22.4338,52.27,71,75,8.05,
