City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Hedland,AU,2022-07-10 01:41:12,-20.3167,118.5667,69.85,19,0,14.97
68,Chuguyevka,RU,2022-07-10 01:41:13,44.1653,133.8633,80.37,56,71,2.71
69,Hovd,MN,2022-07-10 01:41:13,48.0056,91.6419,63.55,52,29,7.25
70,Arraial Do Cabo,BR,2022-07-10 01:36:57,-22.9661,-42.0278,70.43,87,2,19.71
71,Maceio,BR,2022-07-10 01:41:13,-9.6658,-35.7353,72.84,88,100,14.97
72,Avarua,CK,2022-07-10 01:41:14,-21.2078,-159.775,77.05,53,20,11.5
73,Powell River,CA,2022-07-10 01:41:14,49.8496,-124.5361,69.08,77,100,4.61
74,Banjar,ID,2022-07-10 01:41:14,-8.19,114.9675,84.81,64,28,1.97
75,Miracema Do Tocantins,BR,2022-07-10 01:41:15,-9.5618,-48.3967,75.18,39,2,3.15
76,Aksu,CN,2022-07-10 01:41:15,41.1231,80.2644,79.43,30,100,3.91
77,Sinnamary,GF,2022-07-10 01:41:16,5.3833,-52.95,77.49,88,100,7.61
78,Adrar,MR,2022-07-10 01:41:16,20.5022,-10.0711,95.94,16,1,8.84
79,Tasiilaq,GL,2022-07-10 01:41:16,65.6145,-37.6368,44.76,76,100,1.68
80,Willoughby,US,2022-07-10 01:40:08,41.6398,-81.4065,70.86,54,0,11.5
81,Airai,TL,2022-07-10 01:41:17,-8.9266,125.4092,66.6,70,76,4.21
82,Mehamn,NO,2022-07-10 01:41:17,71.0357,27.8492,55.35,88,40,0.0
83,Muzhi,RU,2022-07-10 01:41:18,65.3667,64.6667,65.7,60,92,2.64
84,Saint-Philippe,RE,2022-07-10 01:41:18,-21.3585,55.7679,65.79,71,75,13.73
85,Karaidel,RU,2022-07-10 01:41:18,55.8337,56.9069,65.19,89,94,2.15
86,Hithadhoo,MV,2022-07-10 01:41:19,-0.6,73.0833,83.05,76,97,6.2
87,Chickasha,US,2022-07-10 01:41:19,35.0526,-97.9364,94.35,38,0,9.22
88,Salina Cruz,MX,2022-07-10 01:40:26,16.1667,-95.2,83.03,71,4,11.81
89,Coihaique,CL,2022-07-10 01:41:20,-45.5752,-72.0662,35.55,93,100,4.61
90,Bredasdorp,ZA,2022-07-10 01:41:20,-34.5322,20.0403,49.77,83,0,4.47
91,Roebourne,AU,2022-07-10 01:41:20,-20.7833,117.1333,69.89,17,0,12.55
92,Leshukonskoye,RU,2022-07-10 01:41:21,64.8989,45.7622,61.7,63,100,2.55
93,Kavaratti,IN,2022-07-10 01:41:21,10.5669,72.642,80.96,81,100,22.53
94,Iqaluit,CA,2022-07-10 01:42:22,63.7506,-68.5145,38.93,86,20,8.05
95,Tumaco,CO,2022-07-10 01:42:22,1.7986,-78.8156,75.65,90,56,7.74
96,Dingle,PH,2022-07-10 01:42:23,10.9995,122.6711,83.48,78,68,13.22
97,Jamestown,US,2022-07-10 01:38:23,42.097,-79.2353,65.84,55,0,9.22
98,Vermilion,US,2022-07-10 01:42:23,40.1667,-87.7506,77.59,78,0,5.75
99,Narsaq,GL,2022-07-10 01:42:23,60.9167,-46.05,48.42,93,36,1.45
100,Torbay,CA,2022-07-10 01:42:24,47.6666,-52.7314,55.58,88,40,9.22
101,Itajuba,BR,2022-07-10 01:38:59,-22.4256,-45.4528,58.75,75,11,2.89
102,Kangaatsiaq,GL,2022-07-10 01:42:24,68.3065,-53.4641,40.41,91,96,7.31
103,Ingham,US,2022-07-10 01:42:25,42.6,-84.3833,71.78,52,0,4.61
104,Beringovskiy,RU,2022-07-10 01:42:25,63.05,179.3167,48.36,92,100,7.81
105,Barrow,US,2022-07-10 01:42:25,71.2906,-156.7887,55.42,71,0,11.5
106,Crestview,US,2022-07-10 01:40:41,30.7621,-86.5705,83.26,93,20,4.61
107,Tual,ID,2022-07-10 01:42:26,-5.6667,132.75,79.52,84,25,23.69
108,Kaitangata,NZ,2022-07-10 01:42:26,-46.2817,169.8464,45.41,64,10,4.07
109,Victor Harbor,AU,2022-07-10 01:42:27,-35.5667,138.6167,54.0,64,100,1.01
110,Murud,IN,2022-07-10 01:42:27,18.3258,72.965,79.75,86,100,16.44
111,Puerto Ayora,EC,2022-07-10 01:42:28,-0.7393,-90.3518,71.55,89,97,5.01
112,Marsa Matruh,EG,2022-07-10 01:42:28,31.3525,27.2453,79.0,73,40,12.66
113,Husavik,IS,2022-07-10 01:42:28,66.0449,-17.3389,52.86,85,97,6.58
114,Te Anau,NZ,2022-07-10 01:42:29,-45.4167,167.7167,41.95,70,46,3.24
115,Golspie,GB,2022-07-10 01:42:29,57.9727,-3.978,61.0,87,85,12.08
116,Poya,NC,2022-07-10 01:42:29,-21.35,165.15,82.47,64,100,7.72
117,Nikolskoye,RU,2022-07-10 01:42:30,59.7035,30.7861,59.81,93,81,2.37
118,Orange Cove,US,2022-07-10 01:42:30,36.6244,-119.3137,97.63,18,0,11.5
119,Agadez,NE,2022-07-10 01:42:30,19.75,10.25,85.33,12,3,5.26
120,Taltal,CL,2022-07-10 01:40:49,-25.4,-70.4833,58.62,74,65,1.72
121,Tuktoyaktuk,CA,2022-07-10 01:42:31,69.4541,-133.0374,48.2,100,100,9.22
122,Mutoko,ZW,2022-07-10 01:42:31,-17.397,32.2268,48.07,77,0,3.24
123,Xuddur,SO,2022-07-10 01:42:32,4.1213,43.8894,68.59,76,99,20.04
124,Gobabis,NA,2022-07-10 01:42:32,-22.45,18.9667,48.43,43,0,11.32
125,Lambari,BR,2022-07-10 01:42:32,-21.9756,-45.3503,56.16,70,16,3.51
126,Henties Bay,NA,2022-07-10 01:42:33,-22.116,14.2845,54.37,88,0,8.41
127,Stornoway,GB,2022-07-10 01:42:33,58.2093,-6.3865,53.92,93,100,4.0
128,Luderitz,NA,2022-07-10 01:42:33,-26.6481,15.1594,54.61,92,43,2.95
129,Antofagasta,CL,2022-07-10 01:42:34,-23.65,-70.4,58.28,83,100,7.61
130,Kapaa,US,2022-07-10 01:42:34,22.0752,-159.319,84.52,73,40,16.11
131,Varkkallai,IN,2022-07-10 01:42:34,8.7341,76.7067,78.58,88,85,13.22
132,Hami,CN,2022-07-10 01:42:35,42.8,93.45,89.83,12,50,5.57
133,Camacha,PT,2022-07-10 01:42:35,33.0833,-16.3333,63.82,88,75,18.41
